Scenario,Solver,Objective,Runtime (s),Assignments,Production (mÂ³),Mobilisation Cost (CAD)
MiniToy (ground-based),SA,15.50,1.45,17,48.00,65.00
MiniToy (ground-based),ILS,23.00,2.75,8,25.00,65.00
MiniToy (ground-based),TABU,10.00,22.20,3,10.00,0.00
Med42 (mixed skyline/tethered),SA,-358.24,23.34,94,229.33,1500.00
Med42 (mixed skyline/tethered),ILS,-547.76,38.10,103,238.86,1900.00
Med42 (mixed skyline/tethered),TABU,18.72,332.06,7,18.72,0.00
Synthetic-small,SA,39.79,0.73,5,39.79,0.00
Synthetic-small,ILS,39.79,1.47,5,39.79,0.00
Synthetic-small,TABU,39.79,12.28,5,39.79,0.00
